dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,2.190611,11.852392,0.541576,1.974815,4.415904,0.989146,0.103039
0.010000,2.210690,11.854510,0.561767,2.019073,4.425838,0.993391,0.107081
0.010000,2.231202,11.856758,0.582401,2.063431,4.435766,0.992868,0.111226
0.010000,2.252145,11.859142,0.603480,2.107888,4.445689,0.992277,0.115473
0.010000,2.273521,11.861668,0.625004,2.152443,4.455572,0.988277,0.119825
0.010000,2.295328,11.864343,0.646975,2.197097,4.465388,0.981606,0.124283
0.010000,2.317567,11.867173,0.669394,2.241848,4.475110,0.972200,0.128846
0.010000,2.340238,11.870164,0.692261,2.286695,4.484719,0.960946,0.133517
0.010000,2.363339,11.873323,0.715577,2.331637,4.494162,0.944215,0.138296
0.010000,2.386871,11.876657,0.739344,2.376671,4.503424,0.926276,0.143183
0.010000,2.410832,11.880173,0.763562,2.421796,4.512464,0.903956,0.148180
0.010000,2.435223,11.883877,0.788232,2.467008,4.521248,0.878376,0.153288
0.010000,2.460041,11.887778,0.813355,2.512306,4.529726,0.847861,0.158506
0.010000,2.485287,11.891882,0.838932,2.557684,4.537869,0.814243,0.163837
0.010000,2.510958,11.896198,0.864963,2.603141,4.545628,0.775927,0.169281
0.010000,2.537053,11.900733,0.891450,2.648670,4.552956,0.732805,0.174838
0.010000,2.563572,11.905495,0.918393,2.694268,4.559812,0.685545,0.180509
0.010000,2.590512,11.910492,0.945792,2.739930,4.566133,0.632120,0.186295
0.010000,2.617871,11.915732,0.973648,2.785649,4.571883,0.575031,0.192197
0.010000,2.645647,11.921224,1.001963,2.831418,4.576995,0.511209,0.198214
0.010000,2.673839,11.926976,1.030735,2.877233,4.581422,0.442656,0.204347
0.010000,2.702443,11.932997,1.059966,2.923084,4.585099,0.367726,0.210597
0.010000,2.731457,11.939296,1.089655,2.968963,4.587971,0.287247,0.216963
0.010000,2.760877,11.945881,1.119804,3.014863,4.589973,0.200193,0.223446
0.010000,2.790701,11.952762,1.150412,3.060774,4.591045,0.107170,0.230047
0.010000,2.820926,11.959948,1.181479,3.106685,4.591121,0.007549,0.236764
