dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,2.180831,14.396558,0.529743,1.882715,3.886140,0.079523,6.182563
0.010000,2.199946,14.394592,0.548959,1.921582,3.886726,0.058568,6.178845
0.010000,2.219440,14.392513,0.568563,1.960453,3.887073,0.034647,6.175048
0.010000,2.239312,14.390317,0.588556,1.999324,3.887170,0.009781,6.171172
0.010000,2.259562,14.387999,0.608938,2.038194,3.887003,-0.016786,6.167218
0.010000,2.280188,14.385554,0.629709,2.077060,3.886541,-0.046123,6.163186
0.010000,2.301190,14.382978,0.650868,2.115917,3.885779,-0.076229,6.159075
0.010000,2.322566,14.380265,0.672416,2.154764,3.884690,-0.108938,6.154886
0.010000,2.344315,14.377412,0.694352,2.193597,3.883261,-0.142826,6.150619
0.010000,2.366437,14.374414,0.716676,2.232412,3.881462,-0.179954,6.146274
0.010000,2.388930,14.371264,0.739388,2.271204,3.879284,-0.217812,6.141851
0.010000,2.411792,14.367959,0.762488,2.309971,3.876699,-0.258442,6.137351
0.010000,2.435022,14.364492,0.785975,2.348708,3.873692,-0.300714,6.132773
0.010000,2.458618,14.360860,0.809849,2.387411,3.870240,-0.345257,6.128118
0.010000,2.482579,14.357056,0.834110,2.426074,3.866318,-0.392177,6.123387
0.010000,2.506902,14.353076,0.858756,2.464693,3.861913,-0.440451,6.118580
0.010000,2.531586,14.348914,0.883789,2.503263,3.856999,-0.491452,6.113697
0.010000,2.556629,14.344564,0.909207,2.541779,3.851558,-0.544071,6.108739
0.010000,2.582028,14.340022,0.935009,2.580234,3.845567,-0.599117,6.103707
0.010000,2.607782,14.335282,0.961195,2.618624,3.839006,-0.656068,6.098600
0.010000,2.633887,14.330337,0.987765,2.656943,3.831856,-0.714974,6.093420
0.010000,2.660342,14.325184,1.014717,2.695184,3.824099,-0.775736,6.088167
0.010000,2.687143,14.319816,1.042050,2.733341,3.815711,-0.838832,6.082843
0.010000,2.714288,14.314227,1.069764,2.771408,3.806678,-0.903300,6.077448
0.010000,2.741773,14.308413,1.097858,2.809378,3.796978,-0.969946,6.071983
0.010000,2.769596,14.302367,1.126330,2.847244,3.786596,-1.038203,6.066448
0.010000,2.797754,14.296084,1.155180,2.884999,3.775518,-1.107840,6.060846
0.010000,2.826243,14.289559,1.184407,2.922636,3.763723,-1.179513,6.055177
0.010000,2.855059,14.282785,1.214008,2.960148,3.751199,-1.252365,6.049442
0.010000,2.884198,14.275757,1.243984,2.997527,3.737935,-1.326455,6.043642
0.010000,2.913658,14.268471,1.274331,3.034766,3.723916,-1.401898,6.037779
0.010000,2.943434,14.260919,1.305050,3.071858,3.709132,-1.478402,6.031855
0.010000,2.973522,14.253098,1.336138,3.108794,3.693575,-1.555702,6.025870
0.010000,3.003918,14.245001,1.367593,3.145566,3.677236,-1.633847,6.019827
0.010000,3.034617,14.236623,1.399415,3.182167,3.660109,-1.712731,6.013726
0.010000,3.065615,14.227960,1.431601,3.218589,3.642191,-1.791786,6.007570
0.010000,3.096907,14.219005,1.464149,3.254824,3.623480,-1.871069,6.001360
0.010000,3.128489,14.209754,1.497058,3.290863,3.603973,-1.950705,5.995098
0.010000,3.160355,14.200201,1.530325,3.326700,3.583674,-2.029885,5.988786
0.010000,3.192500,14.190343,1.563948,3.362326,3.562587,-2.108702,5.982426
0.010000,3.224920,14.180173,1.597925,3.397733,3.540715,-2.187273,5.976020
0.010000,3.257609,14.169688,1.632255,3.432914,3.518069,-2.264569,5.969570
0.010000,3.290561,14.158882,1.666933,3.467860,3.494657,-2.341232,5.963079
0.010000,3.323771,14.147752,1.701959,3.502565,3.470492,-2.416433,5.956548
0.010000,3.357234,14.136293,1.737329,3.537021,3.445590,-2.490248,5.949980
0.010000,3.390943,14.124501,1.773041,3.571221,3.419966,-2.562397,5.943378
0.010000,3.424893,14.112372,1.809093,3.605157,3.393641,-2.632497,5.936743
0.010000,3.459078,14.099903,1.845481,3.638824,3.366634,-2.700673,5.930079
0.010000,3.493491,14.087088,1.882203,3.672213,3.338972,-2.766178,5.923388
0.010000,3.528128,14.073926,1.919256,3.705320,3.310678,-2.829446,5.916672
0.010000,3.562981,14.060412,1.956638,3.738138,3.281781,-2.889713,5.909935
0.010000,3.598045,14.046544,1.994344,3.770661,3.252310,-2.947031,5.903179
0.010000,3.633313,14.032319,2.032373,3.802884,3.222298,-3.001263,5.896406
0.010000,3.668779,14.017733,2.070721,3.834802,3.191777,-3.052059,5.889621
0.010000,3.704436,14.002784,2.109385,3.866410,3.160783,-3.099406,5.882825
0.010000,3.740279,13.987471,2.148362,3.897703,3.129352,-3.143081,5.876022
0.010000,3.776301,13.971790,2.187649,3.928678,3.097523,-3.182943,5.869214
0.010000,3.812495,13.955741,2.227242,3.959332,3.065334,-3.218920,5.862406
0.010000,3.848856,13.939320,2.267139,3.989660,3.032825,-3.250868,5.855599
0.010000,3.885377,13.922527,2.307336,4.019660,3.000038,-3.278725,5.848796
0.010000,3.922051,13.905360,2.347829,4.049330,2.967014,-3.302415,5.842002
0.010000,3.958873,13.887819,2.388616,4.078668,2.933795,-3.321904,5.835219
0.010000,3.995836,13.869901,2.429692,4.107673,2.900423,-3.337143,5.828449
0.010000,4.032934,13.851608,2.471056,4.136342,2.866941,-3.348180,5.821697
0.010000,4.070162,13.832938,2.512703,4.164676,2.833392,-3.354962,5.814966
0.010000,4.107512,13.813891,2.554629,4.192674,2.799816,-3.357572,5.808258
0.010000,4.144980,13.794467,2.596833,4.220337,2.766255,-3.356058,5.801577
0.010000,4.182559,13.774666,2.639309,4.247664,2.732751,-3.350484,5.794926
0.010000,4.220244,13.754489,2.682056,4.274658,2.699341,-3.340960,5.788307
0.010000,4.258029,13.733936,2.725069,4.301318,2.666065,-3.327585,5.781725
0.010000,4.295909,13.713009,2.768345,4.327648,2.632960,-3.310525,5.775183
0.010000,4.333876,13.691709,2.811879,4.353356,2.570838,-6.212186,5.768683
0.010000,4.371920,13.670041,2.855661,4.378157,2.480089,-9.074904,5.762229
0.010000,4.410030,13.648009,2.899681,4.402059,2.390195,-8.989406,5.755827
0.010000,4.448198,13.625618,2.943932,4.425071,2.301203,-8.899141,5.749478
0.010000,4.486414,13.602873,2.988404,4.447203,2.213158,-8.804504,5.743187
0.010000,4.524668,13.579780,3.033089,4.468464,2.126099,-8.705972,5.736958
0.010000,4.562953,13.556343,3.077977,4.488864,2.040060,-8.603896,5.730794
0.010000,4.601259,13.532569,3.123061,4.508415,1.955072,-8.498777,5.724698
0.010000,4.639579,13.508464,3.168333,4.527127,1.871162,-8.390949,5.718673
0.010000,4.677905,13.484034,3.213783,4.545010,1.788352,-8.281039,5.712723
0.010000,4.716229,13.459285,3.259404,4.562077,1.706660,-8.169211,5.706851
