dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.955847,12.278424,0.304328,1.085234,2.216917,-0.099807,6.186203
0.010000,1.966867,12.277332,0.315402,1.107395,2.216115,-0.080169,6.182563
0.010000,1.978103,12.276176,0.326697,1.129551,2.215534,-0.058080,6.178845
0.010000,1.989555,12.274955,0.338214,1.151703,2.215184,-0.035054,6.175048
0.010000,2.001223,12.273665,0.349953,1.173853,2.215085,-0.009830,6.171172
0.010000,2.013105,12.272305,0.361913,1.196006,2.215257,0.017220,6.167218
0.010000,2.025202,12.270871,0.374095,1.218163,2.215713,0.045538,6.163186
0.010000,2.037513,12.269361,0.386498,1.240328,2.216476,0.076362,6.159075
0.010000,2.050038,12.267772,0.399123,1.262504,2.217563,0.108680,6.154886
0.010000,2.062776,12.266101,0.411970,1.284693,2.218997,0.143383,6.150619
0.010000,2.075726,12.264345,0.425039,1.306901,2.220790,0.179316,6.146274
0.010000,2.088889,12.262502,0.438330,1.329131,2.222970,0.217996,6.141851
0.010000,2.102264,12.260569,0.451844,1.351387,2.225553,0.258268,6.137351
0.010000,2.115850,12.258541,0.465581,1.373672,2.228561,0.300826,6.132773
0.010000,2.129648,12.256417,0.479541,1.395992,2.232014,0.345329,6.128118
0.010000,2.143656,12.254194,0.493724,1.418352,2.235932,0.391734,6.123387
0.010000,2.157874,12.251867,0.508132,1.440755,2.240338,0.440645,6.118580
0.010000,2.172303,12.249434,0.522764,1.463208,2.245251,0.491261,6.113697
0.010000,2.186941,12.246892,0.537621,1.485715,2.250693,0.544217,6.108739
0.010000,2.201788,12.244236,0.552704,1.508281,2.256683,0.599019,6.103707
0.010000,2.216844,12.241465,0.568013,1.530914,2.263243,0.655937,6.098600
0.010000,2.232109,12.238574,0.583549,1.553618,2.270392,0.714895,6.093420
0.010000,2.247582,12.235560,0.599313,1.576399,2.278150,0.775891,6.088167
0.010000,2.263263,12.232419,0.615306,1.599265,2.286536,0.838572,6.082843
0.010000,2.279152,12.229148,0.631528,1.622220,2.295570,0.903412,6.077448
0.010000,2.295249,12.225743,0.647981,1.645273,2.305269,0.969836,6.071983
0.010000,2.311552,12.222200,0.664665,1.668429,2.315649,1.038057,6.066448
0.010000,2.328063,12.218516,0.681582,1.691697,2.326730,1.108076,6.060846
0.010000,2.344781,12.214686,0.698733,1.715082,2.338524,1.179360,6.055177
0.010000,2.361706,12.210708,0.716119,1.738592,2.351046,1.252242,6.049442
0.010000,2.378837,12.206576,0.733741,1.762236,2.364311,1.326504,6.043642
0.010000,2.396175,12.202288,0.751601,1.786019,2.378330,1.401879,6.037779
0.010000,2.413719,12.197839,0.769701,1.809950,2.393113,1.478322,6.031855
0.010000,2.431469,12.193225,0.788041,1.834037,2.408671,1.555756,6.025870
