dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.956768,11.810408,0.307245,1.093381,2.225289,-0.005331,6.187250
0.010000,1.967871,11.809319,0.318401,1.115635,2.225446,0.015752,6.183684
0.010000,1.979191,11.808168,0.329780,1.137893,2.225830,0.038355,6.180043
0.010000,1.990729,11.806952,0.341382,1.160158,2.226458,0.062842,6.176328
0.010000,2.002483,11.805669,0.353206,1.182431,2.227341,0.088306,6.172538
0.010000,2.014454,11.804316,0.365253,1.204716,2.228500,0.115876,6.168674
0.010000,2.026641,11.802890,0.377524,1.227016,2.229948,0.144790,6.164735
0.010000,2.039044,11.801388,0.390017,1.249333,2.231703,0.175510,6.160722
0.010000,2.051662,11.799809,0.402734,1.271671,2.233781,0.207783,6.156635
0.010000,2.064496,11.798149,0.415674,1.294033,2.236201,0.242026,6.152475
0.010000,2.077544,11.796406,0.428838,1.316423,2.238977,0.277565,6.148241
0.010000,2.090807,11.794576,0.442227,1.338844,2.242130,0.315323,6.143934
0.010000,2.104284,11.792657,0.455840,1.361301,2.245674,0.354424,6.139554
0.010000,2.117975,11.790646,0.469678,1.383797,2.249632,0.395724,6.135102
0.010000,2.131880,11.788539,0.483741,1.406337,2.254014,0.438280,6.130578
0.010000,2.145998,11.786335,0.498030,1.428925,2.258846,0.483157,6.125982
0.010000,2.160329,11.784029,0.512546,1.451567,2.264138,0.529233,6.121315
0.010000,2.174873,11.781618,0.527289,1.474266,2.269913,0.577478,6.116578
0.010000,2.189630,11.779100,0.542259,1.497028,2.276188,0.627465,6.111770
0.010000,2.204600,11.776471,0.557457,1.519858,2.282975,0.678710,6.106893
0.010000,2.219782,11.773728,0.572885,1.542761,2.290298,0.732260,6.101948
0.010000,2.235175,11.770867,0.588542,1.565742,2.298166,0.786810,6.096935
0.010000,2.250781,11.767885,0.604431,1.588808,2.306600,0.843445,6.091855
0.010000,2.266599,11.764779,0.620550,1.611964,2.315615,0.901470,6.086708
0.010000,2.282628,11.761545,0.636902,1.635217,2.325224,0.960948,6.081496
0.010000,2.298869,11.758180,0.653488,1.658571,2.335441,1.021667,6.076220
0.010000,2.315321,11.754679,0.670308,1.682034,2.346282,1.084154,6.070881
0.010000,2.331984,11.751040,0.687364,1.705611,2.357757,1.147425,6.065479
0.010000,2.348859,11.747259,0.704658,1.729310,2.369880,1.212285,6.060016
0.010000,2.365945,11.743332,0.722189,1.753137,2.382658,1.277794,6.054493
0.010000,2.383242,11.739255,0.739960,1.777098,2.396104,1.344650,6.048911
0.010000,2.400750,11.735024,0.757972,1.801200,2.410225,1.412060,6.043272
0.010000,2.418469,11.730636,0.776226,1.825450,2.425027,1.480239,6.037577
0.010000,2.436399,11.726087,0.794725,1.849856,2.440518,1.549147,6.031828
0.010000,2.454541,11.721372,0.813469,1.874423,2.456702,1.618306,6.026025
0.010000,2.472894,11.716488,0.832461,1.899158,2.473580,1.687842,6.020171
0.010000,2.491458,11.711431,0.851701,1.924070,2.491156,1.757633,6.014268
0.010000,2.510233,11.706196,0.871193,1.949164,2.509428,1.827178,6.008316
0.010000,2.529221,11.700780,0.890938,1.974448,2.528394,1.896630,6.002318
0.010000,2.548419,11.695178,0.910937,1.999929,2.548052,1.965812,5.996276
0.010000,2.567830,11.689387,0.931193,2.025613,2.568397,2.034407,5.990191
0.010000,2.587452,11.683401,0.951708,2.051507,2.589419,2.102253,5.984065
0.010000,2.607287,11.677218,0.972484,2.077618,2.611111,2.169232,5.977902
